"#","From","To (Interval: 24H)","Jabalpur, Suhagi  PM10 (µg/m3)","Jabalpur, Suhagi  PM2.5 (µg/m3)","Jabalpur, Suhagi  NO (µg/m3)","Jabalpur, Suhagi  NO2 (µg/m3)","Jabalpur, Suhagi  NOX (ppb)","Jabalpur, Suhagi  CO (mg/m3)","Jabalpur, Suhagi  SO2 (µg/m3)","Jabalpur, Suhagi  NH3 (µg/m3)","Jabalpur, Suhagi  Ozone (µg/m3)","Jabalpur, Suhagi  Benzene (µg/m3)"
"177","2025-07-06 00:00:00","2025-07-07 00:00:00","28.28","7.98","4.07","19.82","13.85","0.58","4.15","7.70","17.45","0.26"
"178","2025-07-07 00:00:00","2025-07-08 00:00:00","28.90","7.24","3.28","20.94","13.82","0.72","6.26","7.54","25.82","0.26"
"179","2025-07-08 00:00:00","2025-07-09 00:00:00","29.24","7.38","2.73","20.56","13.16","0.60","5.56","7.49","30.32","0.26"
"180","2025-07-09 00:00:00","2025-07-10 00:00:00","32.86","9.32","3.08","22.17","14.30","0.68","5.66","7.53","25.37","0.29"
"181","2025-07-10 00:00:00","2025-07-11 00:00:00","32.12","8.96","3.52","21.55","14.32","0.63","6.61","7.49","40.21","0.28"
"182","2025-07-11 00:00:00","2025-07-12 00:00:00","29.74","9.38","2.57","16.16","10.63","0.59","4.61","6.83","33.49","0.26"
"183","2025-07-12 00:00:00","2025-07-13 00:00:00","29.73","8.16","3.47","21.22","14.11","0.66","5.85","7.51","35.40","0.28"
"184","2025-07-13 00:00:00","2025-07-14 00:00:00","33.20","9.25","4.26","23.84","16.13","0.75","6.14","7.58","33.55","0.31"
"185","2025-07-14 00:00:00","2025-07-15 00:00:00","36.41","10.06","6.13","26.10","18.86","0.66","6.54","7.79","26.31","0.35"
"186","2025-07-15 00:00:00","2025-07-16 00:00:00","37.07","10.71","5.18","24.43","17.20","0.61","4.55","7.92","25.79","0.32"
"187","2025-07-16 00:00:00","2025-07-17 00:00:00","37.91","10.78","5.52","27.25","18.98","0.76","7.02","8.00","16.95","0.31"
"188","2025-07-17 00:00:00","2025-07-18 00:00:00","38.74","10.53","4.02","25.43","16.80","0.66","4.92","7.94","27.28","0.34"
"189","2025-07-18 00:00:00","2025-07-19 00:00:00","41.41","12.83","5.99","23.44","17.34","0.72","3.81","7.68","26.84","0.34"
"190","2025-07-19 00:00:00","2025-07-20 00:00:00","52.99","14.92","9.56","26.17","21.70","0.60","6.92","8.29","29.82","0.24"
"191","2025-07-20 00:00:00","2025-07-21 00:00:00","60.04","15.91","9.54","30.91","24.20","0.81","6.67","8.43","27.91","0.28"
"192","2025-07-21 00:00:00","2025-07-22 00:00:00","52.97","12.80","5.91","27.20","19.27","0.62","6.63","8.14","23.16","0.31"
"193","2025-07-22 00:00:00","2025-07-23 00:00:00","40.48","11.67","4.97","26.82","18.30","0.64","6.60","8.55","20.64","0.16"
"194","2025-07-23 00:00:00","2025-07-24 00:00:00","33.94","8.85","2.97","22.57","14.42","0.46","6.43","8.44","28.18","0.11"
"195","2025-07-24 00:00:00","2025-07-25 00:00:00","32.40","8.52","3.09","20.77","13.55","0.59","5.87","8.30","30.01","0.11"
"196","2025-07-25 00:00:00","2025-07-26 00:00:00","42.19","9.77","3.73","19.49","13.36","0.55","3.87","8.23","34.04","0.13"
"197","2025-07-26 00:00:00","2025-07-27 00:00:00","29.57","7.95","4.52","20.18","14.41","0.26","4.76","8.74","40.93","0.12"
"198","2025-07-27 00:00:00","2025-07-28 00:00:00","29.33","7.49","3.20","21.66","14.13","0.40","4.96","8.41","44.40","0.10"
"199","2025-07-28 00:00:00","2025-07-29 00:00:00","32.33","7.56","4.92","23.35","16.42","0.33","3.00","8.56","32.81","0.11"
"200","2025-07-29 00:00:00","2025-07-30 00:00:00","27.13","6.23","3.71","20.67","14.01","0.26","5.16","8.38","40.18","0.12"
"201","2025-07-30 00:00:00","2025-07-31 00:00:00","28.79","7.35","3.05","21.07","13.69","0.43","4.28","8.31","44.86","0.10"
"202","2025-07-31 00:00:00","2025-08-01 00:00:00","41.02","10.78","7.64","21.24","17.52","0.47","6.56","8.04","42.43","0.12"
"203","2025-08-01 00:00:00","2025-08-02 00:00:00","43.26","11.35","4.57","20.67","14.72","0.25","3.14","8.02","42.47","0.11"
"204","2025-08-02 00:00:00","2025-08-03 00:00:00","41.99","11.21","4.45","23.02","15.85","0.53","6.05","7.90","40.23","0.13"
"205","2025-08-03 00:00:00","2025-08-04 00:00:00","44.87","11.17","3.41","22.21","14.58","0.46","3.62","8.02","43.75","0.14"
"206","2025-08-04 00:00:00","2025-08-05 00:00:00","54.36","13.85","11.44","25.46","22.84","0.79","5.31","8.65","43.93","0.16"
"207","2025-08-05 00:00:00","2025-08-06 00:00:00","52.08","13.43","7.78","26.56","20.46","0.46","5.23","9.57","45.00","0.21"
"208","2025-08-06 00:00:00","2025-08-07 00:00:00","56.26","28.24","10.50","29.39","24.18","0.68","5.04","9.26","42.06","0.24"
"209","2025-08-07 00:00:00","2025-08-08 00:00:00","55.33","23.91","4.20","23.99","16.18","0.33","4.37","8.94","45.60","0.26"
"210","2025-08-08 00:00:00","2025-08-09 00:00:00","58.70","12.34","7.98","27.77","21.26","0.72","7.87","9.70","45.45","0.20"
"211","2025-08-09 00:00:00","2025-08-10 00:00:00","51.13","8.44","5.51","24.48","17.50","0.57","5.95","9.75","40.94","0.18"
"212","2025-08-10 00:00:00","2025-08-11 00:00:00","55.00","10.51","4.72","24.51","16.88","0.55","6.39","9.28","45.68","0.13"
"213","2025-08-11 00:00:00","2025-08-12 00:00:00","50.10","11.50","3.45","23.04","15.06","0.53","6.03","9.06","49.68","0.11"
"214","2025-08-12 00:00:00","2025-08-13 00:00:00","54.18","12.83","5.28","24.12","17.13","0.69","4.66","9.04","39.76","0.12"
"215","2025-08-13 00:00:00","2025-08-14 00:00:00","84.78","8.52","5.45","25.38","17.94","0.59","6.28","9.52","33.26","0.17"
"216","2025-08-15 00:00:00","2025-08-16 00:00:00","62.88","12.84","7.78","32.39","23.54","0.77","5.24","9.77","36.48","NA"
"217","2025-08-16 00:00:00","2025-08-17 00:00:00","56.70","7.39","14.28","27.75","26.37","0.78","6.80","9.68","25.78","NA"
"218","2025-08-17 00:00:00","2025-08-18 00:00:00","44.32","21.69","10.64","26.51","22.75","1.01","4.57","10.25","30.11","NA"
"219","2025-08-18 00:00:00","2025-08-19 00:00:00","50.19","24.52","9.31","28.44","22.70","0.99","4.37","9.65","31.50","1.12"
"220","2025-08-19 00:00:00","2025-08-20 00:00:00","50.21","24.52","11.21","28.44","24.25","0.54","8.69","10.45","34.21","1.01"
"221","2025-08-20 00:00:00","2025-08-21 00:00:00","43.15","19.79","9.49","29.01","23.15","0.49","5.59","10.38","27.58","0.87"
"222","2025-08-21 00:00:00","2025-08-22 00:00:00","32.61","13.02","4.17","23.68","15.99","0.30","6.01","9.35","35.11","0.84"
"223","2025-08-22 00:00:00","2025-08-23 00:00:00","31.39","12.13","3.87","22.71","15.23","0.40","5.47","9.08","34.69","0.84"
"224","2025-08-23 00:00:00","2025-08-24 00:00:00","29.59","11.00","3.34","21.46","14.14","0.47","5.23","9.02","35.26","0.84"
"225","2025-08-24 00:00:00","2025-08-25 00:00:00","31.19","12.00","3.25","19.54","13.04","0.55","6.11","8.56","32.89","0.69"
"226","2025-08-25 00:00:00","2025-08-26 00:00:00","38.66","16.98","7.63","20.30","17.00","0.66","3.62","8.40","27.08","0.36"
"227","2025-08-26 00:00:00","2025-08-27 00:00:00","48.57","23.32","11.38","19.39","19.57","0.68","4.91","8.08","20.48","0.35"
"228","2025-08-27 00:00:00","2025-08-28 00:00:00","66.90","35.34","8.05","19.52","16.93","0.31","5.71","7.96","20.16","0.40"
"229","2025-08-28 00:00:00","2025-08-29 00:00:00","62.74","32.58","6.80","21.31","16.87","0.43","5.42","7.81","20.18","0.48"
"230","2025-08-29 00:00:00","2025-08-30 00:00:00","55.85","26.16","8.74","19.98","17.73","0.43","4.69","7.84","16.12","1.21"
"231","2025-08-30 00:00:00","2025-08-31 00:00:00","48.15","21.04","7.49","22.44","18.03","0.45","4.76","7.92","23.32","1.67"
"232","2025-08-31 00:00:00","2025-09-01 00:00:00","50.27","20.80","4.81","22.81","16.05","0.54","4.97","8.25","32.59","1.92"
"233","2025-09-01 00:00:00","2025-09-02 00:00:00","28.16","13.12","7.67","20.03","16.89","0.72","4.56","7.39","28.74","1.63"
"234","2025-09-02 00:00:00","2025-09-03 00:00:00","29.02","14.82","6.56","20.71","16.34","0.34","4.62","8.73","28.36","1.87"
"235","2025-09-03 00:00:00","2025-09-04 00:00:00","22.95","13.05","7.87","25.56","19.97","0.48","4.33","9.18","25.26","1.92"
"236","2025-09-04 00:00:00","2025-09-05 00:00:00","35.75","17.03","15.48","25.61","26.21","0.85","3.75","7.80","19.34","1.72"
"237","2025-09-05 00:00:00","2025-09-06 00:00:00","28.58","14.67","7.53","20.84","17.20","0.33","5.90","7.84","34.05","1.94"
"238","2025-09-06 00:00:00","2025-09-07 00:00:00","40.23","18.54","7.64","25.42","19.73","0.54","7.27","7.77","34.07","1.91"
"239","2025-09-07 00:00:00","2025-09-08 00:00:00","25.14","13.61","9.76","25.54","21.52","0.50","4.13","8.22","29.10","1.84"
"240","2025-09-08 00:00:00","2025-09-09 00:00:00","24.97","13.59","6.94","23.95","18.39","0.42","6.61","8.49","29.57","1.80"
"241","2025-09-09 00:00:00","2025-09-10 00:00:00","40.80","18.61","11.27","26.75","23.39","0.62","4.49","8.70","26.96","1.78"
"242","2025-09-10 00:00:00","2025-09-11 00:00:00","58.68","23.82","5.27","21.10","15.51","0.83","4.65","8.99","33.39","1.86"
"243","2025-09-11 00:00:00","2025-09-12 00:00:00","55.13","20.59","6.61","24.03","18.16","0.95","5.69","9.24","31.17","1.71"
"244","2025-09-12 00:00:00","2025-09-13 00:00:00","40.10","18.00","6.29","25.02","18.43","0.82","7.14","9.49","33.14","1.80"
"245","2025-09-13 00:00:00","2025-09-14 00:00:00","49.77","21.62","11.86","27.91","24.50","1.04","3.40","9.11","24.71","1.55"
"246","2025-09-14 00:00:00","2025-09-15 00:00:00","98.29","37.54","9.47","19.32","17.98","0.73","6.79","7.49","22.86","1.68"
"247","2025-09-15 00:00:00","2025-09-16 00:00:00","77.69","29.58","6.90","18.26","15.33","0.75","4.54","7.13","26.49","1.75"
"248","2025-09-16 00:00:00","2025-09-17 00:00:00","53.01","22.64","6.03","18.33","14.65","0.85","6.46","7.02","29.04","1.77"
"249","2025-09-17 00:00:00","2025-09-18 00:00:00","42.12","19.11","4.05","15.41","11.50","0.81","6.13","7.02","32.11","1.00"
"250","2025-09-18 00:00:00","2025-09-19 00:00:00","63.80","26.16","12.98","25.17","23.94","1.19","6.68","8.33","30.52","0.22"
"251","2025-09-19 00:00:00","2025-09-20 00:00:00","69.22","27.95","11.50","28.49","24.50","0.89","7.30","8.79","26.55","0.34"
"252","2025-09-20 00:00:00","2025-09-21 00:00:00","60.04","28.05","7.70","27.03","20.64","0.99","5.14","8.76","31.51","0.26"
"253","2025-09-21 00:00:00","2025-09-22 00:00:00","60.07","27.74","6.48","26.09","19.15","0.83","3.23","8.83","34.39","0.20"
"254","2025-09-22 00:00:00","2025-09-23 00:00:00","89.24","36.82","10.65","30.75","25.01","1.21","4.51","8.86","32.29","0.26"
"255","2025-09-23 00:00:00","2025-09-24 00:00:00","59.77","27.00","4.05","23.71","15.90","0.68","5.23","8.82","41.39","0.22"
"256","2025-09-24 00:00:00","2025-09-25 00:00:00","70.63","27.73","4.36","24.19","16.41","0.89","4.61","8.59","46.98","0.13"
"257","2025-09-25 00:00:00","2025-09-26 00:00:00","79.57","27.11","8.13","27.08","21.01","0.87","5.99","8.54","42.61","0.29"
"258","2025-09-26 00:00:00","2025-09-27 00:00:00","46.62","13.45","11.02","28.49","24.11","0.54","5.36","8.83","34.20","0.36"
"259","2025-09-27 00:00:00","2025-09-28 00:00:00","42.95","32.73","15.52","33.56","30.47","0.44","6.88","8.93","30.46","0.28"
"260","2025-09-28 00:00:00","2025-09-29 00:00:00","31.25","19.51","14.57","28.79","27.16","0.86","7.13","8.75","28.57","0.29"
"261","2025-09-29 00:00:00","2025-09-30 00:00:00","34.17","20.21","13.35","28.20","25.84","0.48","5.70","8.88","29.19","0.33"
"262","2025-09-30 00:00:00","2025-10-01 00:00:00","73.86","44.47","11.40","28.44","24.39","0.56","7.34","8.92","37.36","0.25"
"263","2025-10-01 00:00:00","2025-10-02 00:00:00","23.50","21.21","7.64","26.91","20.52","0.43","9.55","8.64","41.48","0.22"
"264","2025-10-02 00:00:00","2025-10-03 00:00:00","27.18","57.03","7.60","29.50","21.87","0.69","14.82","8.68","44.98","0.18"
"265","2025-10-03 00:00:00","2025-10-04 00:00:00","20.28","15.30","6.41","24.47","18.23","0.33","17.50","9.12","36.16","0.20"
"266","2025-10-04 00:00:00","2025-10-05 00:00:00","21.23","11.20","9.40","24.29","20.57","0.65","17.37","9.13","36.49","0.20"
"267","2025-10-05 00:00:00","2025-10-06 00:00:00","32.34","18.44","4.16","25.14","16.74","0.33","12.12","9.05","53.31","0.18"
"268","2025-10-06 00:00:00","2025-10-07 00:00:00","41.11","19.29","9.79","31.99","24.97","0.73","14.66","9.13","46.03","0.25"
"269","2025-10-07 00:00:00","2025-10-08 00:00:00","53.93","23.67","9.66","29.12","23.35","0.41","16.19","9.13","37.14","0.31"
"270","2025-10-08 00:00:00","2025-10-09 00:00:00","51.91","23.25","10.35","30.03","24.39","0.41","16.56","9.13","38.26","0.30"
"271","2025-10-09 00:00:00","2025-10-10 00:00:00","81.02","25.07","12.57","35.22","28.95","0.62","16.34","9.18","40.92","0.27"
"272","2025-10-10 00:00:00","2025-10-11 00:00:00","117.79","32.52","12.72","39.08","31.13","0.53","16.38","9.23","39.56","0.31"
"273","2025-10-11 00:00:00","2025-10-12 00:00:00","106.46","29.28","12.70","39.79","31.49","0.56","15.11","9.14","43.73","0.31"
"274","2025-10-12 00:00:00","2025-10-13 00:00:00","78.71","28.15","11.82","37.78","29.70","0.57","14.12","9.07","47.10","0.35"
"275","2025-10-13 00:00:00","2025-10-14 00:00:00","93.52","32.43","15.31","38.94","33.16","0.64","16.46","9.31","40.73","0.40"
"276","2025-10-14 00:00:00","2025-10-15 00:00:00","110.80","45.66","16.75","37.61","33.61","0.57","29.08","9.86","42.19","0.42"
"277","2025-10-15 00:00:00","2025-10-16 00:00:00","134.38","65.04","12.89","36.13","29.70","0.66","11.96","9.03","42.07","0.47"
"278","2025-10-16 00:00:00","2025-10-17 00:00:00","133.61","64.49","15.50","36.87","32.21","0.80","14.36","9.01","43.94","0.59"
"279","2025-10-17 00:00:00","2025-10-18 00:00:00","106.78","48.01","15.98","36.24","32.27","0.88","15.43","8.63","44.86","0.73"
"280","2025-10-18 00:00:00","2025-10-19 00:00:00","93.26","50.57","12.04","32.55","27.10","0.68","8.77","9.20","63.10","0.77"
"281","2025-10-19 00:00:00","2025-10-20 00:00:00","90.61","52.21","7.99","28.86","21.19","0.83","7.36","10.51","67.82","0.60"
"282","2025-10-20 00:00:00","2025-10-21 00:00:00","116.14","89.57","5.46","23.05","16.21","0.61","7.43","10.37","50.61","0.45"
"283","2025-10-21 00:00:00","2025-10-22 00:00:00","155.23","97.42","3.53","21.18","13.93","1.00","7.22","9.14","32.42","0.30"
"284","2025-10-22 00:00:00","2025-10-23 00:00:00","94.29","56.54","8.35","24.98","20.00","0.84","7.38","8.99","33.60","0.35"
"285","2025-10-23 00:00:00","2025-10-24 00:00:00","132.78","80.49","9.55","28.89","22.97","0.92","7.56","9.86","32.91","0.41"
"286","2025-10-24 00:00:00","2025-10-25 00:00:00","175.45","107.01","8.81","32.77","24.28","0.88","7.73","10.68","39.08","0.45"
"287","2025-10-25 00:00:00","2025-10-26 00:00:00","175.67","105.84","11.14","29.30","24.64","0.94","7.85","11.23","31.33","0.54"
"288","2025-10-26 00:00:00","2025-10-27 00:00:00","81.39","47.66","12.57","19.10","20.06","0.97","7.78","9.33","13.95","0.44"
"289","2025-10-27 00:00:00","2025-10-28 00:00:00","89.20","49.18","10.18","20.44","19.16","0.83","7.54","9.48","34.34","0.34"
"290","2025-10-28 00:00:00","2025-10-29 00:00:00","109.08","60.66","11.05","23.39","21.14","0.80","8.34","9.63","19.74","0.36"
"291","2025-10-29 00:00:00","2025-10-30 00:00:00","79.46","47.35","6.30","18.47","14.95","0.75","7.43","8.55","28.72","0.24"
"292","2025-10-30 00:00:00","2025-10-31 00:00:00","39.73","22.62","7.45","16.34","14.32","0.79","7.77","7.58","27.86","0.15"
"293","2025-10-31 00:00:00","2025-11-01 00:00:00","43.85","22.65","10.04","12.70","13.16","0.79","7.51","7.90","51.99","0.25"
"294","2025-11-01 00:00:00","2025-11-02 00:00:00","71.46","34.33","14.99","15.55","19.69","1.00","7.71","8.96","52.78","0.47"
"295","2025-11-02 00:00:00","2025-11-03 00:00:00","105.63","54.21","16.47","18.66","23.03","0.83","7.36","9.10","56.26","0.53"
"296","2025-11-03 00:00:00","2025-11-04 00:00:00","88.74","42.56","14.63","20.96","22.39","0.84","7.70","9.40","69.87","0.42"
"297","2025-11-04 00:00:00","2025-11-05 00:00:00","94.39","43.00","14.99","30.40","27.82","0.76","6.11","9.66","69.82","0.51"
"298","2025-11-05 00:00:00","2025-11-06 00:00:00","107.86","51.49","17.70","21.29","22.72","0.87","4.14","9.33","73.78","0.44"
"299","2025-11-06 00:00:00","2025-11-07 00:00:00","120.25","54.54","23.74","24.93","29.69","0.78","4.25","9.86","63.79","0.56"
"300","2025-11-07 00:00:00","2025-11-08 00:00:00","134.00","66.79","21.32","37.32","37.19","1.05","3.39","10.75","55.56","0.62"
"301","2025-11-08 00:00:00","2025-11-09 00:00:00","144.76","90.33","20.78","38.77","37.52","0.90","2.52","9.49","56.11","0.82"
"302","2025-11-09 00:00:00","2025-11-10 00:00:00","138.17","92.19","17.12","33.94","31.97","0.69","3.10","8.78","54.18","0.77"
"303","2025-11-10 00:00:00","2025-11-11 00:00:00","155.53","92.81","22.99","41.15","40.58","0.95","2.85","8.07","53.62","1.45"
"304","2025-11-11 00:00:00","2025-11-12 00:00:00","155.53","103.68","22.99","44.34","42.28","0.97","2.90","9.74","46.71","0.72"
"305","2025-11-12 00:00:00","2025-11-13 00:00:00","175.93","112.07","20.10","39.20","37.20","1.14","2.03","9.66","53.44","0.84"
"306","2025-11-13 00:00:00","2025-11-14 00:00:00","207.33","138.42","24.83","48.05","45.74","1.25","4.41","12.00","54.51","0.97"
"307","2025-11-14 00:00:00","2025-11-15 00:00:00","146.19","85.92","20.62","43.10","39.69","0.71","4.92","11.85","53.73","1.08"
"308","2025-11-15 00:00:00","2025-11-16 00:00:00","148.54","93.56","24.12","48.27","45.28","0.92","5.58","12.15","50.95","1.05"
"309","2025-11-16 00:00:00","2025-11-17 00:00:00","158.31","102.42","21.08","47.90","42.61","0.92","5.38","14.54","56.18","1.00"
"310","2025-11-17 00:00:00","2025-11-18 00:00:00","174.67","113.43","27.75","53.09","50.79","1.01","5.26","16.16","39.16","1.50"
"311","2025-11-18 00:00:00","2025-11-19 00:00:00","146.88","86.63","24.82","44.85","44.04","1.28","4.98","17.85","33.66","1.21"
"312","2025-11-19 00:00:00","2025-11-20 00:00:00","151.76","90.48","26.75","46.68","46.57","1.30","4.95","18.73","27.00","1.20"
"313","2025-11-20 00:00:00","2025-11-21 00:00:00","170.35","103.01","23.79","52.34","47.17","1.43","5.17","21.11","39.48","1.37"
"314","2025-11-21 00:00:00","2025-11-22 00:00:00","155.00","92.60","23.27","46.08","43.43","1.09","5.13","20.01","39.58","1.14"
"315","2025-11-22 00:00:00","2025-11-23 00:00:00","153.31","91.33","25.83","49.85","47.52","0.91","5.43","18.43","39.71","1.16"
"316","2025-11-23 00:00:00","2025-11-24 00:00:00","145.73","88.40","23.44","46.55","43.81","1.35","5.67","18.69","39.82","0.97"
"317","2025-11-24 00:00:00","2025-11-25 00:00:00","143.50","79.58","25.54","54.18","49.59","0.93","5.22","18.03","44.04","0.94"
"318","2025-11-25 00:00:00","2025-11-26 00:00:00","155.92","87.88","23.21","59.40","50.47","0.89","5.76","19.12","41.73","1.02"
"319","2025-11-26 00:00:00","2025-11-27 00:00:00","122.50","66.63","20.14","55.09","45.68","0.75","5.41","15.52","41.10","0.89"
"320","2025-11-27 00:00:00","2025-11-28 00:00:00","110.57","56.64","25.75","51.86","48.52","0.83","5.09","17.91","40.48","0.79"
"321","2025-11-28 00:00:00","2025-11-29 00:00:00","127.27","72.79","25.73","50.19","47.62","0.99","5.38","18.17","36.19","1.07"
"322","2025-11-29 00:00:00","2025-11-30 00:00:00","108.63","64.03","10.10","35.24","26.97","0.69","5.33","17.51","36.42","0.79"
"323","2025-11-30 00:00:00","2025-12-01 00:00:00","107.12","58.12","31.84","58.34","56.93","1.53","5.36","13.12","43.32","0.43"
"324","2025-12-01 00:00:00","2025-12-02 00:00:00","107.16","57.96","27.72","48.43","48.29","1.00","5.62","14.89","38.61","0.80"
"325","2025-12-02 00:00:00","2025-12-03 00:00:00","104.44","54.75","28.76","45.86","47.76","0.90","5.33","15.36","36.68","0.65"
"326","2025-12-03 00:00:00","2025-12-04 00:00:00","92.27","47.29","31.17","45.27","49.41","1.01","5.65","13.30","37.75","0.49"
"327","2025-12-04 00:00:00","2025-12-05 00:00:00","100.31","50.81","31.90","48.30","51.62","0.98","5.51","14.68","38.45","0.49"
"328","2025-12-05 00:00:00","2025-12-06 00:00:00","129.04","63.23","36.52","64.32","63.90","1.49","5.80","14.81","39.86","0.57"
"329","2025-12-06 00:00:00","2025-12-07 00:00:00","117.74","64.22","24.57","51.07","47.14","1.36","5.81","14.18","33.42","0.52"
"330","2025-12-07 00:00:00","2025-12-08 00:00:00","123.87","72.79","25.68","41.99","43.22","1.67","5.27","16.51","35.98","0.50"
"331","2025-12-08 00:00:00","2025-12-09 00:00:00","101.97","53.03","34.53","40.61","49.68","1.13","5.45","13.29","35.86","0.64"
"332","2025-12-09 00:00:00","2025-12-10 00:00:00","98.71","49.15","37.80","39.72","51.86","1.63","5.26","12.39","35.82","0.66"
"333","2025-12-10 00:00:00","2025-12-11 00:00:00","113.17","60.44","30.07","39.93","45.69","0.91","5.21","12.05","31.73","1.11"
"334","2025-12-11 00:00:00","2025-12-12 00:00:00","120.21","73.16","28.71","42.03","45.69","1.32","6.06","13.09","23.94","1.36"
"335","2025-12-12 00:00:00","2025-12-13 00:00:00","117.35","68.76","28.52","41.32","45.16","0.98","5.32","12.69","23.90","1.39"
"336","2025-12-13 00:00:00","2025-12-14 00:00:00","125.22","76.62","33.06","47.56","52.18","1.04","4.95","12.99","23.78","1.55"
"337","2025-12-14 00:00:00","2025-12-15 00:00:00","161.19","99.96","24.88","43.85","43.55","1.08","5.58","20.42","23.88","1.43"
"338","2025-12-15 00:00:00","2025-12-16 00:00:00","197.19","136.34","30.38","44.61","48.43","0.91","5.40","26.51","23.86","1.86"
"339","2025-12-16 00:00:00","2025-12-17 00:00:00","124.75","80.84","33.99","44.58","51.34","1.11","5.48","23.33","23.92","1.98"
"340","2025-12-17 00:00:00","2025-12-18 00:00:00","75.02","38.79","38.79","39.95","52.79","1.15","5.87","18.59","23.90","1.81"
"341","2025-12-18 00:00:00","2025-12-19 00:00:00","53.88","28.75","29.64","32.46","41.36","1.14","5.90","14.72","23.87","1.35"
"342","2025-12-19 00:00:00","2025-12-20 00:00:00","76.10","43.26","31.13","37.99","45.52","1.19","5.84","21.74","23.87","1.75"
"343","2025-12-20 00:00:00","2025-12-21 00:00:00","73.85","38.94","30.95","40.70","46.81","1.12","5.06","18.68","23.92","1.75"
"344","2025-12-21 00:00:00","2025-12-22 00:00:00","57.79","30.36","23.88","39.09","40.20","1.13","5.75","14.95","23.92","1.21"
"345","2025-12-22 00:00:00","2025-12-23 00:00:00","84.17","45.51","34.81","39.98","49.56","1.36","5.41","25.70","24.03","1.86"
"346","2025-12-23 00:00:00","2025-12-24 00:00:00","76.38","42.63","29.25","37.54","43.75","1.05","5.36","22.02","23.83","2.03"
"347","2025-12-24 00:00:00","2025-12-25 00:00:00","54.39","29.31","26.08","32.45","38.47","1.05","5.26","17.27","23.91","1.40"
"348","2025-12-25 00:00:00","2025-12-26 00:00:00","49.06","26.80","27.19","34.84","40.41","0.85","5.30","15.83","26.41","1.17"
"349","2025-12-26 00:00:00","2025-12-27 00:00:00","54.10","26.97","32.59","38.07","46.75","1.13","5.94","15.83","29.16","1.06"
"350","2025-12-27 00:00:00","2025-12-28 00:00:00","56.01","30.15","26.86","34.94","40.42","1.05","5.74","15.48","29.42","1.21"
"351","2025-12-28 00:00:00","2025-12-29 00:00:00","59.04","34.71","22.49","35.15","36.99","1.18","5.76","16.75","30.50","1.30"
"352","2025-12-29 00:00:00","2025-12-30 00:00:00","67.30","37.66","30.70","39.27","45.84","1.14","5.48","16.83","29.86","1.60"
"353","2025-12-30 00:00:00","2025-12-31 00:00:00","55.10","31.08","25.37","38.92","41.33","1.23","5.66","13.67","28.72","1.40"
"354","2025-12-31 00:00:00","2026-01-01 00:00:00","54.69","28.60","29.90","45.08","48.28","1.46","6.37","16.32","35.74","1.35"
"355","Min","","20.28","5.11","2.57","12.70","10.63","0.23","2.03","6.43","0.40","0.10"
"356","Max","","207.33","138.42","38.79","73.15","63.90","2.71","29.08","26.51","93.90","2.03"
"357","Avg.","","84.25","35.25","13.67","36.53","30.8","0.98","8.79","10.27","37.39","0.75"